"filename", "language", "YAML", "JSON", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "HTML", "MS SQL", "Prisma", "Docker", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\prisma\migrations\20250513140309_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 4, 28
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 5, 42
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\project.entity.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\DB\db.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\DB\db.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 25
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\agent\agent.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\agent\agent.service.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 109
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\agent\jsonSchemaToZod.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 106
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\app.module.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 45
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\chain\chain.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\chain\chain.service.ts", "TypeScript", 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 301
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\dataFormat.interceptor.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 32
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\decorator.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\email\email.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\email\email.service.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\errorHandle.filter.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 44
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\graph\DiyStateGraph.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 19, 224
